category,product_url,title,publisher,authors,description,image_urls,image_paths,classified
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-Soru-Bankasi-Hiz-Yayinlari-916417.html,AYT Fizik Soru Bankası Hız Yayınları,Hız Yayınları,Hız Komisyon,"6. Sınıf, Sosyal Bilgiler, Hibrit, Konu Anlatımlı, Etkinlikli, Soru Bankası, Hız Yayınları, 9786256071803",https://cdn.kitapsec.com/image/urun/2025/03/26/1742999574.jpg,dtyResimler\AYT-Fizik-Soru-Bankasi-Hiz-Yayinlari-916417.html_1.jpg,Fizik
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-Soru-Bankasi-Hiz-ve-Renk-Yayinlari-370449.html,AYT Fizik Soru Bankası Hız ve Renk Yayınları,Hız ve Renk Yayınları,Fatma Böyükocakoğlu,"AYT Fizik, Destek, Soru Bankası, ENS Yayıncılık, 
Fatma Böyükocakoğlu, Özgür Ünlü, 9786258160574",https://cdn.kitapsec.com/image/urun/2024/06/25/1719299022.jpg,dtyResimler\AYT-Fizik-Soru-Bankasi-Hiz-ve-Renk-Yayinlari-370449.html_1.jpg,Fizik
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-Soru-Bankasi-Karekok-Yayinlari-328437.html,AYT Fizik Soru Bankası Karekök Yayınları,Karekök Yayınları,Karekök Komisyon,"5.Sınıf, İngilizce, Soru Bankası, Karekök Yayıncılık, Adem Özen, Ayhan Güneş, 9786057711304",https://cdn.kitapsec.com/image/urun/2023/09/12/1694516835.jpg,dtyResimler\AYT-Fizik-Soru-Bankasi-Karekok-Yayinlari-328437.html_1.jpg,Fizik
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-Soru-Bankasi-Kitap-Vadisi-Yayinlari-855396.html,AYT Fizik Soru Bankası Kitap Vadisi Yayınları,Kitap Vadisi Yayınları,Kitap Vadisi Komisyon,"TYT Felsefe, Din Kültürü ve Ahlak Bilgisi, Soru Bankası, Kitap Vadisi Yayınları, 9786057057211",https://cdn.kitapsec.com/image/urun/2023/11/17/1700223395.jpg,dtyResimler\AYT-Fizik-Soru-Bankasi-Kitap-Vadisi-Yayinlari-855396.html_1.jpg,Fizik
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-Soru-Bankasi-Limit-Yayinlari-245327.html,AYT Fizik Soru Bankası Limit Yayınları,Limit Yayınları,Kolektif,"6. Sınıf, VIP, Tüm Dersler, Konu Anlatımlı, Editör Yayınevi, 9786052806869",https://cdn.kitapsec.com/image/urun/2024/04/24/1713970255.jpg,dtyResimler\AYT-Fizik-Soru-Bankasi-Limit-Yayinlari-245327.html_1.jpg,Fizik
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-Soru-Bankasi-Miray-Yayinlari-582622.html,AYT Fizik Soru Bankası Miray Yayınları,Miray Yayınları,Soner Dalgıç,AYT Fizik Soru Bankası Miray Yayınları | 9786257833097,https://cdn.kitapsec.com/image/urun/2021/03/12/1615547157.gif,dtyResimler\AYT-Fizik-Soru-Bankasi-Miray-Yayinlari-582622.html_1.gif,Fizik
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-Soru-Bankasi-Oksijen-Yayinlari-773616.html,AYT Fizik Soru Bankası Oksijen Yayınları,Oksijen Yayınları,Oksijen Komisyon,"TYT Biyoloji, OXİ, Soru Bankası, Oksijen Yayınları, 9786256350168",https://cdn.kitapsec.com/image/urun/2022/09/27/1664281199.jpg,dtyResimler\AYT-Fizik-Soru-Bankasi-Oksijen-Yayinlari-773616.html_1.jpg,Fizik
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-Soru-Bankasi-Pegem-Akademi-Yayinlari-628606.html,AYT Fizik Soru Bankası Pegem Akademi Yayınları,Pegem Yayınları,Pegem Komisyon,"2025, GYS, CTE, Adalet Bakanlığı, Ceza ve Tevkifevleri Genel Müdürlüğü, Personeli İçin Hazırlık, Konu Anlatımlı, Soru Bankası, Pegem Yayınları, 9786256140257",https://cdn.kitapsec.com/image/urun/2023/09/01/1693550337.jpg,dtyResimler\AYT-Fizik-Soru-Bankasi-Pegem-Akademi-Yayinlari-628606.html_1.jpg,Fizik
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-Soru-Bankasi-Performans-Yayinlari-648088.html,AYT Fizik Soru Bankası Performans Yayınları,Performans Yayınları,Komisyon,"2.Sınıf, Vip, Tüm Dersler, Konu Anlatımı, Editör Yayınevi, 9786052806845",https://cdn.kitapsec.com/image/urun/2022/10/17/1665987678.jpg,dtyResimler\AYT-Fizik-Soru-Bankasi-Performans-Yayinlari-648088.html_1.jpg,Fizik
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-Soru-Bankasi-Sonuc-Yayinlari-390670.html,AYT Fizik Soru Bankası Sonuç Yayınları,Sonuç Yayınları,Sonuç Komisyon,"8. Sınıf, LGS, İlk Yarı, Kamp Kitabı, Sayısal Sözel, Sonuç Yayınları, 9786258203493",https://cdn.kitapsec.com/image/urun/2019/11/01/1572592574.jpg,dtyResimler\AYT-Fizik-Soru-Bankasi-Sonuc-Yayinlari-390670.html_1.jpg,Fizik
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-Soru-Bankasi-Supara-Yayinlari-869926.html,AYT Fizik Soru Bankası Supara Yayınları,Supara Yayınları,Supara Komisyon,"TYT Matematik, 10 Deneme, Supara Yayınları, 9786258091571",https://cdn.kitapsec.com/image/urun/2024/03/08/1709881862.jpg,dtyResimler\AYT-Fizik-Soru-Bankasi-Supara-Yayinlari-869926.html_1.jpg,Fizik
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-Soru-Bankasi-Tamami-Video-Cozumlu-Simya-Dergisi-Yayinlari-404316.html,AYT Fizik Soru Bankası Tamamı Video Çözümlü Simya Dergisi Yayınları,Simya Dergisi Yayınları,Simya Dergisi Komisyon,"6.Sınıf, Matematik, Soru Bankası, Sınav Yayınları, 9786051239712",https://cdn.kitapsec.com/image/urun/2019/12/30/1577702732.jpg,dtyResimler\AYT-Fizik-Soru-Bankasi-Tamami-Video-Cozumlu-Simya-Dergisi-Yayinlari-404316.html_1.jpg,Fizik
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-Soru-Bankasi-Temel-ve-Orta-Duzey-Kafa-Dengi-Yayinlari-530899.html,AYT Fizik Soru Bankası Temel ve Orta Düzey Kafa Dengi Yayınları,Kafadengi Yayınları,Ergun Bulşu,"AYT, Aktif Fizik, 0 dan Başlayanlara, Aktif Öğrenme Yayınları, 9786258188066, Ergun Bulşu, Serdar Kalaycı, Çağlar Topkara",https://cdn.kitapsec.com/image/urun/2021/08/16/1629102523.jpg,dtyResimler\AYT-Fizik-Soru-Bankasi-Temel-ve-Orta-Duzey-Kafa-Dengi-Yayinlari-530899.html_1.jpg,Fizik
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-Soru-Bankasi-Toprak-Yayincilik-827285.html,AYT Fizik Soru Bankası Toprak Yayıncılık,Toprak Yayıncılık,Alper Öztunç,"TYT, Fen Bilimleri, Deneme Kitabı, Toprak Yayıncılık, Alper ÖZTUNÇ, Belgin Didir ASRİ, İlhan KARAGÖZ, Yelda KARAGÖZ, 9786259770208",https://cdn.kitapsec.com/image/urun/2023/07/05/1688563957.jpg,dtyResimler\AYT-Fizik-Soru-Bankasi-Toprak-Yayincilik-827285.html_1.jpg,Fizik
